,0
0,-8142.635312733473
1,6367.427815415431
2,-1730.6493234988302
3,-1599.3314729700796
4,6532.645031887339
5,-1259.233166656224
6,5907.5029425604735
7,-1056.4996052500792
8,-231.06352378474548
9,7876.8917812423315
10,772.5393934850581
11,-1449.637010838138
12,-1964.5788528742269
13,2379.368112469325
14,-1498.6214311628137
15,-1140.7905311253853
16,0.0
17,0.0
18,0.0
19,238.31809973041527
20,-82.92696721665561
21,-237.32969073741697
22,-281.862376176985
23,-472.0165147965308
24,117.71161412610672
25,-2820.006997133605
26,-147.02686738735065
27,1814.6157905205619
28,389.72885114327073
29,-317.2854827744886
30,-3607.03154963837
31,-2316.125562456902
32,757.5002258368768
33,3903.3735923678614
34,-2120.688730106689
35,-1100.7061081947759
36,189.08308243122883
37,-639.232340920018
38,3416.450506789144
39,-1699.6307847993448
40,3432.952280583326
41,1468.2610639187042
42,-5293.179887934355
43,20.585825491929427
44,-278.12114499649033
45,-761.131360665895
46,0.0
47,1087.3131420491263
48,-97.80781421507709
49,-169.31744685443118
50,1057.3805824059527
51,28.848357676295564
52,149.18447711667977
53,624.7105006692
54,-1776.046458201483
55,-978.914785410976
56,-959.2385826166719
57,-525.6216180997435
58,790.6484592037741
59,-603.4935047426261
60,-32.356633535120636
61,3225.5469954868313
