,0
0,1130360.7523304406
1,1121509.914097657
2,1117586.6055246156
3,1113428.3504824361
4,1114304.9508100857
5,1112213.3628398774
6,1112435.6335245373
7,1111033.1458650192
8,1128714.4916349878
9,1128250.8916747167
10,1129401.5490614225
11,1134182.4370545852
12,1136994.8053993848
13,1159915.4745198968
14,1170380.8932389747
15,1169657.0704146216
16,1173039.2898797572
17,1207551.8534245829
18,1218544.2996226074
19,1222890.4010271318
20,1235170.0997743828
21,1239780.654374459
22,1234744.8673248643
23,1243149.005420263
24,1240617.477620427
25,1236688.4852476812
26,1237470.7233052815
27,1240612.0740392955
28,1245908.2537924333
29,1255065.1695750798
30,1224494.1277811688
31,1238535.1090888144
32,1242501.9210365156
33,1253708.098404645
34,1261412.5811475706
35,1268011.2915549304
36,1284934.4072296205
37,1287412.8697618935
38,1292741.131174591
39,1280800.795207742
40,1282874.7424028735
41,1291802.1607219488
42,1298818.905118796
43,1292230.984727414
44,1297257.9799782936
45,1298959.3954502482
46,1256631.3618922622
47,1245918.6542450534
48,1260738.4747955103
49,1256954.61707777
50,1245787.918537587
51,1243011.9978965295
52,1265003.673467215
53,1255380.7548685148
54,1266624.5411110723
55,1263735.0109054025
56,1274585.8347731146
57,1258908.79427951
58,1230166.6060332053
59,1245909.941273922
60,1217689.8290827475
61,1208091.3942459438
62,1194416.9045466275
