,0
0,1000000.0
1,1000330.7773178588
2,1000903.2701760607
3,999066.9819715805
4,999705.1475179867
5,997135.4031453843
6,996372.5387245405
7,996904.5306847116
8,991509.7858827929
9,990552.6982326704
10,990843.8722299121
11,981417.2368968294
12,993726.817244259
13,996148.0281988527
14,1008824.9227293526
15,1008247.5536564484
16,1014350.2255784784
17,1029072.4368562273
18,1024191.103937075
19,1019471.9028232023
20,1021572.3213701274
21,1021524.8298389891
22,1024340.7989486866
23,1036811.941274231
24,1058028.8228205282
25,1067552.8303838575
26,1040918.4524400632
27,1040184.0170549769
28,1047365.3774961464
29,1039579.7221143239
30,1016687.0788723945
31,1032791.4293113076
32,1015715.7276975423
33,1022018.4376376467
34,993795.9909642488
35,1020967.6450699142
36,1014218.8677820105
37,1005756.455183852
38,1007286.7096704324
39,986065.0209990072
40,982754.1247209116
41,969694.11211062
42,941592.0741919861
43,947382.7876157744
44,908319.0018803733
45,947805.704800343
46,970683.3554832839
47,984357.2944780131
48,986406.6426084123
49,974767.8272303897
50,1014384.8375719371
51,1008969.8581601877
52,1000783.6949144029
53,1001342.8597928288
54,1051939.8134808708
55,1047807.3408412184
56,1039140.4401521202
57,1065896.464828704
58,1049187.4903416375
59,1034015.7673169136
60,1050026.2169730172
61,1068538.2211514732
62,1094180.939637023
63,1116341.5092503855
64,1112232.167497026
65,1083199.5391835785
66,1093362.3459543244
67,1125053.1209363046
68,1141785.7885124632
69,1114190.667198946
70,1145428.9842824116
71,1173491.1523613317
72,1184217.3147657397
73,1145361.2725529317
74,1152018.6197456697
75,1159050.5000235247
76,1162221.9530631027
77,1176161.5307907688
78,1165830.383479318
79,1159044.6215275687
80,1182252.5169068677
81,1195705.4266052803
82,1189211.9609332792
83,1214647.9217724206
84,1217756.3027834857
85,1219139.2773008372
86,1198193.1383741235
87,1229963.1684904948
88,1231957.7995311362
89,1204449.4076779524
90,1175500.7427738588
91,1170094.0986914884
92,1177400.3817792304
93,1198432.186953284
94,1204620.1631806362
95,1199296.0376476329
96,1196972.3247075262
97,1187779.9722283077
98,1221459.3899759732
99,1225429.4456744026
100,1240133.113163184
101,1260495.2273803956
102,1288774.398676645
103,1294249.05726249
104,1304141.3697813188
105,1330209.98075759
106,1342344.5956761534
107,1325758.4352868667
108,1316222.7488882917
109,1306826.2700906456
110,1296110.235949159
111,1283244.2331492282
112,1259184.3554374892
113,1256951.77194368
114,1254322.9048219225
115,1251120.4099485816
116,1269637.9232879954
117,1231522.7207514825
118,1225960.9348113097
119,1237056.87328687
120,1256914.393094966
121,1285668.979900555
122,1282088.3116581265
123,1274621.1374156233
124,1266994.8430003456
125,1235384.750185744
126,1238442.8976321968
127,1199415.2114397103
128,1217102.793753516
129,1240340.1513905888
130,1252611.5502330982
131,1282629.9615499554
132,1283772.101422161
133,1324537.276064268
134,1337773.743288347
135,1301976.265412985
136,1301952.0868361704
137,1294972.9751609103
138,1295310.2986153103
139,1324085.9460217382
140,1352261.889670783
141,1346596.1255254091
142,1331918.854228424
143,1321233.6721056993
144,1349577.0618754546
145,1342017.095376666
146,1369701.1019744982
147,1374040.9824810817
148,1366290.2813417623
149,1363760.347726243
150,1384013.5856372928
151,1382417.6397115819
152,1374164.0394631354
153,1388359.815044827
154,1399887.4298120632
155,1392834.6506173704
156,1346769.1089400772
157,1348732.9279859539
158,1344963.517237978
159,1393966.2259026575
160,1408799.898453437
161,1419105.809495082
162,1426986.313988402
163,1416641.3818850587
164,1411270.3943814142
165,1407500.9836334384
166,1398042.4477062698
167,1380006.805365145
168,1371840.9986340217
169,1385448.1034392465
170,1397331.87276074
171,1389875.9082461498
172,1405391.0715376842
173,1426292.4563477433
174,1429772.7969639448
175,1438883.888705789
176,1446314.5563295723
177,1479380.356747963
178,1490029.4578559638
179,1489345.688454229
180,1505568.4363323145
181,1511753.294583691
182,1510163.5743059313
183,1504850.6850498412
184,1491880.3065697134
185,1510490.0692554167
186,1510348.8457475046
187,1502406.8092076583
188,1475967.1508732452
189,1468949.233321281
190,1480822.5953828562
191,1511819.9771791748
192,1567538.2319291455
193,1557408.2978591463
194,1563758.4468322496
195,1586890.1590881357
196,1592875.3246620505
197,1620382.7313332432
198,1604227.7383996367
199,1662817.6989304966
200,1669783.183145862
201,1670319.7348247261
202,1669613.534479161
203,1678519.4303235859
204,1677103.7955314866
205,1678375.9551266916
206,1659907.2542599028
207,1635334.1474681175
208,1667893.6220874083
209,1622240.0799139433
210,1616080.962409368
211,1625750.8128709106
212,1635131.2357516806
213,1660360.7072184125
214,1667673.014248108
215,1702768.430179871
216,1715633.1616928119
217,1726936.0642977797
218,1718679.5358953553
219,1731568.6433341082
220,1744495.2988395721
221,1748146.332332459
222,1745468.043255083
223,1733629.815880239
224,1724548.401158166
225,1762333.3293902199
226,1764260.6802453802
227,1772062.4439643072
228,1753693.074074753
229,1763163.2988458325
230,1782968.9385173311
231,1775844.2762851906
232,1770648.3308971995
233,1767907.048664309
234,1770777.6119382074
235,1773315.4280706658
236,1780603.8652405413
237,1787696.9292499255
238,1784442.2633639872
239,1800324.4437926935
240,1792139.030033723
241,1805978.5444731582
242,1794084.6084537427
243,1802083.5579431492
244,1809289.9556746588
245,1816906.3262870123
246,1848497.8535237568
247,1869908.4197778928
248,1883380.2909431586
249,1872643.9126828297
250,1882971.0590723096
251,1874660.4452323015
252,1895310.628159294
253,1887205.0199807067
254,1839996.7467822114
255,1797991.8207906485
256,1821702.9267680726
257,1818665.034258465
258,1786747.0953042337
259,1777245.2291023966
260,1785194.9226771847
261,1755383.1576417356
262,1779619.949942109
263,1757661.2387111925
264,1764600.629082761
265,1665070.5048831457
266,1636402.7208918843
267,1644095.6649896477
268,1643503.904791203
269,1618799.696390429
270,1604591.5749308346
271,1614202.3526878306
272,1608783.0231075587
273,1638126.639308612
274,1595231.7497799052
275,1609213.115039247
276,1615423.23175043
277,1624598.3018227813
278,1618508.7439046716
279,1624934.69519419
280,1615534.9026625676
281,1640312.9469587756
282,1631006.417079436
283,1645912.660602658
284,1638396.5462705328
285,1644208.62778278
286,1620700.611036793
287,1610699.8882557969
288,1596020.2095268292
289,1597596.57262169
290,1615840.6635572088
291,1640601.900203548
292,1653305.4675077307
293,1681010.8358913993
294,1711010.7470103966
295,1705911.456890661
296,1699852.355107314
297,1748338.5387869708
298,1762348.550336094
299,1757812.1621130232
300,1708857.4931699743
301,1714951.3777230512
302,1715956.9353793089
303,1718541.669751406
304,1699148.5324717339
305,1692203.5778382085
306,1667693.7907479317
307,1692547.4903345583
308,1708484.4314938458
309,1708701.3400121732
310,1708263.7911675419
311,1721513.9242915143
312,1722572.3115943652
313,1727725.3241736866
314,1734732.1298747333
315,1726662.5361428685
316,1712997.5732330878
317,1724575.8396369359
318,1721152.3394542958
319,1740522.8603221432
320,1782126.5201937954
321,1789328.3951113396
322,1808577.6894411193
323,1674591.5501668104
324,1674382.9723784165
325,1688557.4678172744
326,1689049.3636684797
327,1668938.6043103288
328,1663608.2206443702
329,1623829.541131666
330,1614820.8238240364
331,1615125.116079694
332,1624737.8653636724
333,1604696.250279996
334,1620171.8841018314
335,1547010.4415031765
336,1556556.143210676
337,1521927.7795663183
338,1503645.6079510956
339,1591400.410766377
340,1554550.790674117
341,1544733.6943517057
342,1560307.6902087883
343,1549554.297817591
344,1550930.659520993
345,1522160.083783527
346,1509754.8410570486
347,1450303.948860824
348,1442374.5712718782
349,1458321.6704160837
